pid,sex,job/course,age,smartphone(0=android/1=no_android/2=none),comments
19RBRJM,f,Rechtswissenschaften,24,0,
1AI5CFN,f,Agrarwissenschaften MA,27,1,
1E5N17K,f,Wirtschaftsinformatik Master,23,0,schön kurz :)
1TB4NLH,f,Biochemie,22,1,
20EJ1N9,m,Student / 2-Fach Bachelor B.Ed. Mathematik/Informatik,26,0,Menü-Steuerung: nur 5/7 Steine da: Menü zum Ausklappen. besser: dauerhaft ausgeklappt - >1 Klick statt 2
2BNABHR,f,Psychologie,21,1,
2GEOQ9P,m,Mathematik,24,0,
2GNEJNC,f,Agrarwissenschaften Msc.,26,0,
2NCTIET,f,Psychologie,20,1,
2TLFJA1,m,Wirtschaftsinformatik,22,0,
302J6FO,f,Psychologie,20,0,
3348IDB,m,CAU – 2-Fach Mathe/Geo,21,0,
33Q7Q69,f,Agrarwissenschaften,24,1,
34M20O3,m,Physik,26,2,
34PLNOO,f,VWL,25,0,
3936UP7,f,Wirtschaftsinformatik,25,0,
3BF7MB2,m,W-Ing,25,0,
3D9VNFN,f,Mathematik,24,0,
3IMSUI8,m,1-Fa-Ma,25,0,
3KQPMNJ,m,Wirtschaftsinformatik,29,0,
3NC8CCE,m,"Student, Mathe / Sport Lehramt",25,0,
3REMHMO,f,2-Facher Master Wirtschaftswissenschaften Profil: Handelslehrer,28,0,
3RPMKQ7,m,Wiing,20,0,
3V5IM4C,f,Medizin,24,0,
72FFTI,m,Student / 2-Fach Bachelor (Mathe/Physik),24,1,
D9SBMV,f,Wirtschaftsinformatik,20,0,
E21CVE,m,Winf,24,0,
F9ICJS,m,Psychologie,24,1,
QG9SV3,f,BWL Master,25,0,"man könnte die Bedienung noch vereinfachen, indem man durch wischen von Tür zu Tür kann"
